username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-05-15 23:44;0;0;"Karnataka election results 2018: As state throws up hung House, here's the party-wise seat and vote share https://twitter.com/share?text=Karnataka%20election%20results%202018:%20As%20state%20throws%20up%20hung%20House,%20here%27s%20the%20party-wise%20seat%20and%20vote%20share …";;;;"996453801438601217";https://twitter.com/18AKGOYAL/status/996453801438601217
;2018-05-15 23:44;0;0;"Karnataka Election 2018 results: BJP's southward march has begun, says Ram Madhav - The Hindu https://ift.tt/2IM0RD7";;;;"996453701056434176";https://twitter.com/JessieBottcher/status/996453701056434176
;2018-05-15 23:44;0;0;"Karnataka Election Result 2018 updates: Yeddyurappa calls BJP MLAs' meet tommorow, says ball now in guv's court LIVE News, Latest Updates, Live blog, Highlights and Live coverage - Firstpost http://dlvr.it/QSyKxG";;;;"996453691891871744";https://twitter.com/netamakerIndia/status/996453691891871744
;2018-05-15 23:43;0;0;"After The Karnataka Election Result Kerala Tourism Offers Beautiful Resorts To Mlas For Relax – कर्नाटक के सियासी दंगल पर केरल सरकार ने ली चुटकी, विधायकों को आराम के लिए किया आमंत्रित http://statusbang.ml/after-the-karnataka-election-result-kerala-tourism-offers-beautiful-resorts-to-mlas-for-relax-%e0%a4%95%e0%a4%b0%e0%a5%8d%e0%a4%a8%e0%a4%be%e0%a4%9f%e0%a4%95-%e0%a4%95%e0%a5%87-%e0%a4%b8%e0%a4%bf/ …pic.twitter.com/gOAcDwKNFX";;;;"996453599025737728";https://twitter.com/statusbangnews/status/996453599025737728
;2018-05-15 23:43;1;6;"We will fight for you: Rahul Gandhi to voters after Karnataka results http://dnai.in/fqvN pic.twitter.com/xJfepH4jqS";;;;"996453501780701184";https://twitter.com/dna/status/996453501780701184
;2018-05-15 23:43;1;6;"1) Karnataka shares borders with AP & Telangana on its eastern side. Here are the results from the eastern Karnataka districts. Don't buy "Telugus voted against BJP" propaganda. This result is quite normal here. BJP actually did better than expected in dist's like Chitradurga!";;;;"996453443681206272";https://twitter.com/KiranKS/status/996453443681206272
;2018-05-15 23:42;0;0;"Karnataka Election Results 2018: BSP Creates History as Candidate N Mahesh Wins Kollegal Assembly Constituency via @ indiacomhttp://www.india.com/news/india/karnataka-election-results-2018-bahujan-samaj-party-bsp-creates-history-as-candidate-n-mahesh-wins-kollegal-assembly-constituency-3055475/ …";;@;;"996453195667853313";https://twitter.com/Singh198509/status/996453195667853313
;2018-05-15 23:41;0;0;"Can a RTI b filed to know whether PMO office called up Karnataka Raj Bhavan after election results.or may b rajbhavan got a call from BJP headquarters for that matter.";;;;"996453151908622338";https://twitter.com/hirani_shamir/status/996453151908622338
;2018-05-15 23:41;0;2;"After looking at Karnataka results this is what I am thinking. BJP will loose in MP and Rajasthan. BJP will not cross 200 in 2019. Babu will win in AP and most of the states BJP will loose badly in state elections. I am going to pin this tweet till may 2019.";;;;"996453009126141958";https://twitter.com/hustler243/status/996453009126141958
;2018-05-15 23:40;0;0;"Karnataka Results: Seven Muslims Candidates Win in Karnataka Elections 2018 watch at https://youtu.be/ZP6i-v8Hkuw https://youtu.be/ZP6i-v8Hkuw";;;;"996452858533888000";https://twitter.com/ind2day/status/996452858533888000
;2018-05-15 23:40;0;0;"Karnataka Results: Seven Muslims Candidates Win in Karnataka Elections 2018: http://youtu.be/ZP6i-v8Hkuw?a via @ YouTube";;@;;"996452785364393984";https://twitter.com/ind2day/status/996452785364393984
;2018-05-15 23:40;0;0;"I added a video to a @ YouTube playlist http://youtu.be/ZP6i-v8Hkuw?a Karnataka Results: Seven Muslims Candidates Win in Karnataka Elections";;@;;"996452711435526144";https://twitter.com/ind2day/status/996452711435526144
;2018-05-15 23:39;0;0;"Good to see the Results of Karnataka but Power Hunger politics to continue.. Congress-JDS. Have faith in Centre Integrity n hopeful for Wishful conclusion..";;;;"996452649221308416";https://twitter.com/PouthaiK/status/996452649221308416
;2018-05-15 23:39;1;0;"Karnataka Poll Results: Yogendra Yadav’s Message For BJP, Congress https://www.thequint.com/videos/news-videos/karnataka-poll-results-yogendra-yadavs-message-for-bjp-congress …";;;;"996452492115406854";https://twitter.com/rajeevgodara/status/996452492115406854
;2018-05-15 23:38;0;0;"After The Karnataka Election Result Kerala Tourism Offers Beautiful Resorts To Mlas For Relax – कर्नाटक के सियासी दंगल पर केरल सरकार ने ली चुटकी, विधायकों को आराम के लिए किया आमंत्रित http://dailyhindinews.ga/after-the-karnataka-election-result-kerala-tourism-offers-beautiful-resorts-to-mlas-for-relax-%e0%a4%95%e0%a4%b0%e0%a5%8d%e0%a4%a8%e0%a4%be%e0%a4%9f%e0%a4%95-%e0%a4%95%e0%a5%87-%e0%a4%b8%e0%a4%bf/ …";;;;"996452328449433601";https://twitter.com/Urvishkathiriya/status/996452328449433601
;2018-05-15 23:38;0;0;"Karnataka Election Results: After Telugu Voters Opt for BJP in Karnataka, Andhra Pradesh and Telangana Next on Radar https://www.news18.com/news/politics/karnataka-election-results-after-telugu-voters-opt-for-bjp-in-karnataka-andhra-pradesh-and-telangana-next-on-radar-1749573.html …";;;;"996452324053729280";https://twitter.com/singhal_vikas45/status/996452324053729280
;2018-05-15 23:37;0;0;"Dear rahul... ji why you silent karnataka results. .whynot talk kumara swammy.. are you really pappu.. something do it for better government. .stop talking";;;;"996452096395243525";https://twitter.com/smeerkpblr/status/996452096395243525
;2018-05-15 23:37;6;3;"After Karnataka Results Ghar Se Kuch Door Nikalte Hi. Chalte Hi. pic.twitter.com/DZM2kMz5vW";;;;"996452057287507968";https://twitter.com/Adarsh_Rai694/status/996452057287507968
;2018-05-15 23:37;14;16;"Karnataka CEO statement on mismatch of EVM and VVPAT count in a polling station of Hubli-Dharwad Central constituency: Mismatch due to failure to delete mock poll data from EVM. VVPAT count incorporated in result, Jagadish Shettar of BJP declared winner pic.twitter.com/wMPIYJTmn6";;;;"996451987003617280";https://twitter.com/bhartijainTOI/status/996451987003617280
;2018-05-15 23:36;0;0;"Karnataka Assembly Election Results 2018: All eyes on Governor Vajubhai Vala, who had vacated his seat for Narendra Modi https://bangaloremirror.indiatimes.com/bangalore/karnataka-assembly-election/karnataka-assembly-election-results-2018-all-eyes-on-governor-vajubhai-vala-who-had-vacated-his-seat-for-narendra-modi/articleshow/64176160.cms … via @ bangaloremirror";;@;;"996451869646962688";https://twitter.com/UmeshaTweetsVK/status/996451869646962688
;2018-05-15 23:36;0;1;"After election result of karnataka , # modiji will understood that u r not able to get a job after scoring more That is D pain of Gen...category";;;#;"996451842073608192";https://twitter.com/sandeep922978/status/996451842073608192
;2018-05-15 23:36;0;6;"Karnataka election results: 8 short, can BJP still get the numbers? https://www.livemint.com/Politics/PYZALgxnX7iPJrGwutiFxJ/Karnataka-election-results-8-short-can-BJP-still-get-the-n.html …";;;;"996451778228113408";https://twitter.com/livemint/status/996451778228113408
;2018-05-15 23:36;0;0;"karnataka Result cleared,,, people are happy with BJP Ruling... Hence Congress should keep quiet,,, n concentrate cleaning it's own party... until people make noise against BJP...";;;;"996451712515825665";https://twitter.com/sjmhatre21/status/996451712515825665
;2018-05-15 23:36;0;0;"Very sadness movement in Varanasi when we was celebrating Karnataka result";;;;"996451671042613249";https://twitter.com/Parveen88360671/status/996451671042613249
;2018-05-15 23:36;0;0;"I liked a @ YouTube video http://youtu.be/ozFjEfB6Bpw?a Jan Gan Man Ki Baat, Ep 242: Karnataka Results and Complaint Over Modi's 'Menacing";;@;;"996451657688014848";https://twitter.com/AshishNotion_/status/996451657688014848
;2018-05-15 23:35;0;0;"What does Karnataka election result says, from Bangalore BJP won only 2 and 47% voting ... most literate n sophisticated people r bankrupt n didn’t voted for countries betterment, shameful";;;;"996451518713753600";https://twitter.com/frieeend2010/status/996451518713753600
;2018-05-15 23:34;0;0;"Nope. I beg to differ. We can say, bjp didn’t mean the expectations but the results have improved. Besides congress forming the govt is good news for bjp. Bjp is people’s choice (vote share) but congress’ govt so ppl will now wholeheartedly vote for bjp in 2019 in Karnataka";;;;"996451370264907776";https://twitter.com/SindhiChokroVB/status/996451370264907776
;2018-05-15 23:34;0;0;"Karnataka results: End of an era and AHINDA politics https://wideversion.com/article/43950";;;;"996451145085153280";https://twitter.com/wideversion/status/996451145085153280
;2018-05-15 23:33;0;0;"# karnakaElections Karnataka election results 2018 comedy memes https://youtu.be/5dvcacoVPFU via @ YouTube";;@;#;"996451119806074880";https://twitter.com/Naachystv/status/996451119806074880
